Tools,Explaination
Ground Rules,"สร้างข้อตกลงร่วมกันว่า ""การเป็นสมาชิกทีมที่ดีหมายถึงอะไร"" โดยให้ทุกคนช่วยกันเสนอพฤติกรรมที่ควรทำและไม่ควรทำ เช่น ห้ามใช้อุปกรณ์สื่อสารระหว่างประชุม ต้องตอบกลับอีเมลภายใน 24 ชั่วโมง หรือวิธีการให้ฟีดแบ็กที่สร้างสรรค์ เมื่อตกลงกันได้แล้วให้บันทึกเป็นลายลักษณ์อักษรและทบทวนร่วมกันเป็นระยะ เพื่อให้ทุกคนมีบรรทัดฐานในการปฏิบัติตัวที่ชัดเจนและลดความขัดแย้งที่ไม่จำเป็น"
Devil's Advocate (บทบาทผู้ค้าน),"มอบหมายสมาชิกหนึ่งคนรับบทเป็น ""ผู้ค้าน"" อย่างเป็นทางการ หน้าที่ของเขาคือการตั้งคำถามท้าทาย หาจุดอ่อน หรือเสนอข้อโต้แย้งของไอเดียนั้นๆ แม้ว่าตัวเขาเองจะเห็นด้วยกับทีมก็ตาม วิธีนี้ช่วยให้ทีมได้พิจารณามุมมองที่รอบด้านและปิดจุดบอดก่อนตัดสินใจจริง โดยควรหมุนเวียนบทบาทนี้ให้ทั่วถึงเพื่อไม่ให้ใครคนใดคนหนึ่งถูกมองว่าเป็นตัวปัญหา"
Checklist,
The Convey (closed-loop communication technique),เพื่อป้องกันความเข้าใจผิดในการสื่อสาร ให้ใช้เทคนิค 3 จังหวะ คือ 1. ผู้พูดส่งสารที่ชัดเจน (Call out) 2. ผู้ฟังทวนสิ่งที่ได้ยินกลับไปเพื่อให้แน่ใจว่าเข้าใจถูกต้อง (Check-back) ไม่ใช่แค่ตอบรับว่าครับ/ค่ะ และ 3. ผู้พูดปยืนยันความถูกต้อง (Confirm) หากผู้ฟังทวนผิด ผู้พูดจะได้แก้ไขทันที เทคนิคนี้ช่วยลดข้อผิดพลาดในการสั่งงานและการประสานงานได้อย่างมีประสิทธิภาพ
Stakeholder Analysis,ให้ทีมระบุชื่อคนนอกทีมที่มีผลต่อโปรเจกต์ลงในตาราง 4 ช่อง โดยแบ่งตามระดับอิทธิพลและความสนใจ สำหรับคนที่มีอิทธิพลสูงและสนใจสูง ทีมต้องเดินไปอัปเดตงานบ่อยๆ อย่ารอให้เขาถาม ส่วนคนที่อิทธิพลสูงแต่ไม่ค่อยสนใจ ให้คอยบริหารความพอใจอย่าให้เป็นศัตรู การทำแบบนี้ช่วยให้ทีมไม่ตกม้าตายเรื่องการเมือง
Boundary Spanners,"มอบหมายให้สมาชิกทีมบางคนทำหน้าที่เป็น ""ทูต"" เชื่อมประสานกับหน่วยงานภายนอก โดยเลือกคนที่มีความเข้าใจภาษาและวัฒนธรรมของทั้งสองฝ่าย หน้าที่หลักคือการนำข้อมูลจากภายนอกเข้ามาสู่ทีม (Scout) และนำเสนอผลงานหรือความต้องการของทีมออกไปสู่ภายนอก (Ambassador) เพื่อให้การประสานงานราบรื่นและทีมไม่ตกข่าวสารสำคัญ"
Team charter,สร้างเอกสารหน้าเดียวที่ทำให้ทุกคนเห็นภาพเดียวกันตั้งแต่วันแรก โดยให้ทีมตกลงกันใน 4 หัวข้อ คือ เป้าหมายของทีมคืออะไร (Purpose) ตัววัดความสำเร็จคืออะไร (Goals) ใครรับผิดชอบบทบาทไหน (Roles) และกติกาการทำงานร่วมกันคืออะไร (Norms) เมื่อทุกคนเซ็นชื่อยอมรับแล้วให้ใช้เป็นธรรมนูญประจำทีม
Role clarification exercise,จัดประชุมเพื่อระบุงานและการตัดสินใจสำคัญๆ ของทีม แล้วกำหนดให้ชัดเจนว่าใครรับผิดชอบอะไร โดยใช้ตารางระบุว่าใครเป็นคนลงมือทำ (Responsible) ใครเป็นคนรับผิดชอบผลลัพธ์ (Accountable) ใครเป็นที่ปรึกษา (Consult) และใครเป็นผู้รับทราบข้อมูล (Inform) กิจกรรมนี้ช่วยลดปัญหางานตกหล่น เกี่ยงงาน หรือทำงานซ้ำซ้อนกัน
Scenario-based walk through,"นำทีมมานั่งล้อมวงและสมมติสถานการณ์ที่อาจเกิดขึ้น (เช่น ระบบล่ม ลูกค้าโวยวาย) แล้วไล่เรียงขั้นตอนการทำงานทีละสเต็ปด้วยการพูดคุยว่า ""ถ้าเกิด X ขึ้น ใครจะทำอะไร ต่อด้วยใคร และทำอย่างไร"" วิธีนี้ช่วยให้ทีมเห็นภาพขั้นตอนการทำงานร่วมกัน ตรวจสอบความเข้าใจที่คลาดเคลื่อน และอุดรอยรั่วของกระบวนการโดยไม่ต้องรอให้เกิดปัญหาจริง"
"Standard operating procedure, Checklist",สำหรับงานที่ต้องทำซ้ำๆ หรือมีความเสี่ยงสูง ให้เขียนขั้นตอนการทำงานออกมาเป็นเอกสารที่ชัดเจน เพื่อให้ทุกคนในทีมปฏิบัติไปในแนวทางเดียวกัน ลดความผันแปรของผลงาน และช่วยให้สมาชิกใหม่เรียนรู้งานได้เร็วขึ้น SOP ที่ดีควรอัปเดตให้ทันสมัยอยู่เสมอและเปิดโอกาสให้ทีมเสนอแนะวิธีปรับปรุงได้
Buddy,
Team norms,
Premortem exercise,ก่อนเริ่มโปรเจกต์ ให้ทีมจินตนาการว่าวันนี้คือวันส่งงานและโปรเจกต์ล้มเหลวอย่างสิ้นเชิง จากนั้นให้ทุกคนเขียนสาเหตุที่ทำให้มันพังออกมา เช่น งบหมด คนไม่พอ ทะเลาะกันเอง เมื่อได้สาเหตุแล้วให้กลับมาสู่ปัจจุบันและวางแผนป้องกันความเสี่ยงเหล่านั้นก่อนที่จะเริ่มลงมือทำงานจริง